,Unnamed: 0,ticker,publish_date,title,body_text,url,neg,neu,pos,compound
0,0,SHEL,2024-01-16,Shell to exit Nigeria's troubled onshore oil after nearly a century By Reuters,"Published Jan 16, 2024 09:30 Updated Jan 16, 2024 18:05

© Reuters. FILE PHOTO: The Shell logo is seen at a petrol station in south London January 31, 2008. Royal Dutch Shell posted record European company earnings of $27.6 billion (13.9 billion pounds) in 2007, but fourth-quarter profit missed forecasts as a fall in prod

SHEL +0.34% Add to/Remove from a Portfolio

By Ron Bousso

LONDON (Reuters) -Shell is set to conclude nearly a century of operations in Nigerian onshore oil and gas after agreeing to sell its subsidiary there to a consortium of five mostly local companies for up to $2.4 billion.

The British energy giant pioneered Nigeria's oil and gas business beginning in the 1930s. It has struggled for years with hundreds of onshore oil spills as a result of theft, sabotage and operational issues that led to costly repairs and high-profile lawsuits.

Since 2021, Shell (LON: ) has sought to sell its Nigerian oil and gas business, but will remain active in Nigeria's more lucrative and less problematic offshore sector.

Shell's exit is part of a broader retreat by western energy companies from Nigeria as they focus on newer, more profitable operations. Exxon Mobil (NYSE: ), Italy's Eni and Norway's Equinor have struck deals to sell assets in the country in recent years.

The British major will sell The Shell Petroleum Development Company of Nigeria Limited (SPDC) for a consideration of $1.3 billion, it said in a statement, while the buyers will make an additional payment of up to $1.1 billion relating to prior receivables at completion.

""This agreement marks an important milestone for Shell in Nigeria, aligning with our previously announced intent to exit onshore oil production in the Niger Delta, simplifying our portfolio and focusing future disciplined investment in Nigeria on our Deepwater and Integrated Gas positions,"" Shell head of upstream Zoë Yujnovich said.

The buyer, the Renaissance consortium comprises ND Western, Aradel Energy, First E&P, Waltersmith, all local oil exploration and production companies, and Petrolin, a Swiss-based trading and investment company.

The sale, which Renaissance confirmed, requires the approval of the Nigerian government.

SPILLS AND LAWSUITS

Renaissance will take over the responsibility for dealing with spills, theft and sabotage, said Shell, which has faced in recent years multiple lawsuits for compensation over damage caused as a result of spills in the Niger delta.

Nnimmo Bassey, Executive Director of Nigerian advocacy group Health of Mother Earth Foundation said: ""Shell must own up to its responsibility.""

""This means full payment for the remediation and restoration of the polluted areas as well as reparations to the host communities. They cannot walk away from the virtually irreparable harm they have caused,"" Bassey said in a statement.

Shell's SPDC Limited operates and has a 30% stake in the SPDC joint venture that holds 18 onshore and shallow water mining leases. Shell's resources in SPDC reached around 458 million barrels of oil equivalent by the end of 2022.

Other partners in the joint venture are the state's Nigerian National Petroleum Corporation (NNPC), which holds 55%, TotalEnergies (LON: ), with 10% and Italy's Eni with 5%.

Apart from its operations and stakes in several fields deep offshore, Shell still has a liquefied plant and other assets in Nigeria.

SPDC, which remains the operator, was formed in 1979, incorporating assets of the older Shell-BP consortium, with its current partners entering at later stages.",https://uk.investing.com//news/commodities-news/shell-agrees-to-sell-its-nigeria-onshore-oil-and-gas-business-3298980,0.078,0.843,0.079,-0.2073
1,1,SHEL,2024-02-01,"European stocks weaken ahead of BOE, eurozone CPI; Deutsche Bank shines By Investing.com","Published Feb 01, 2024 08:24

© Reuters.

EUR/USD +0.12% Add to/Remove from a Portfolio UK100 -0.30% Add to/Remove from a Portfolio FCHI -0.24% Add to/Remove from a Portfolio DE40 -0.22% Add to/Remove from a Portfolio SHEL +0.34% Add to/Remove from a Portfolio BAER +0.13% Add to/Remove from a Portfolio DBKGn -0.12% Add to/Remove from a Portfolio Gold +0.02% Add to/Remove from a Portfolio LCO -0.15% Add to/Remove from a Portfolio CL -0.21% Add to/Remove from a Portfolio SNY -0.13% Add to/Remove from a Portfolio ADDYY -0.85% Add to/Remove from a Portfolio BNPQY -1.43% Add to/Remove from a Portfolio

Investing.com - European stock markets fell Thursday, as investors digested the outcome from the Federal Reserve’s latest meeting and more corporate earnings ahead of the release of eurozone inflation data and the Bank of England’s latest monetary policy decision.

At 03:10 ET (08:10 GMT), the in Germany traded 0.4% lower, the in France traded down 0.8% and the in the U.K. fell 0.6%.

Bank of England meeting, eurozone CPI in focus

The is the latest major central bank to hold a policy-setting meeting, and is widely expected to hold interest rates unchanged at elevated levels later Thursday.

Inflation remains above the central bank’s 2% target, but has dropped sharply from the 41-year high of 11.1% seen in October 2022, and thus policymakers could use this occasion to suggest that they are tentatively moving towards cutting interest rates.

The kept interest rates unchanged late Wednesday, but Chairman downplayed any hopes of early cuts, saying inflation is still running above the Fed's target and this would likely prevent policymakers from lowering rates at its next meeting in March.

The also kept its monetary policy unchanged last week, but sounded confident that inflation was coming under control, fuelling already widespread bets that policy easing could start in early spring.

Eurozone inflation data is scheduled for release later in the session, with the January expected to fall to 2.7%, a drop from 2.9% the prior month.

Deutsche Bank shines with quarterly earnings

The banking sector will be in the spotlight in Europe Thursday, as the quarterly earnings season continues in full stride.

Deutsche Bank (ETR: ) stock rose 1% after the German lender’s fourth-quarter net profit came in well ahead of expectations, while announcing plans to hike share buybacks and dividends by 50%.

BNP Paribas (OTC: ) stock fell over 8% after the French banking giant’s quarterly earnings missed expectations, leading it to revise down its profit targets for 2025.

Julius Baer (SIX: ) stock fell 1.1% after the Swiss wealth manager reported hefty net credit losses linked to its exposure to property and retail giant Signa Holding, prompting CEO Philipp Rickenbacher to leave.

Additionally, Shell (LON: ) stock rose 1% after the oil major reported a 2023 profit of $28 billion, ahead of expectations, allowing it to increase its dividend while announced a $3.5 billion share buyback program.

Sanofi (EPA: ) (NASDAQ: ) stock fell 2.2% after the French drugmaker's fourth-quarter operating income declined 5%, hit by competition for its established multiple sclerosis drug.

Adidas (OTC: ) stock fell over 8% after the German sportswear maker disappointed with its 2024 forecast, hit by limited profits from selling off its last stocks of Yeezy shoes after its break-up with Kanye West.

Crude steadies ahead of OPEC+ meeting

Oil prices traded in tight ranges Thursday, helped by the elevated tensions in the Middle East but amid caution ahead of the latest OPEC+ meeting.

By 03:10 ET, the futures traded 0.4% lower at $75.53 a barrel, while the contract dropped 0.4% to $80.22 a barrel.

The Organization of Petroleum Exporting Countries and allies, known as OPEC+, is set to hold a meeting of the Joint Ministerial Monitoring Committee later in the day - its first major meeting of 2024.

The meeting is not expected to result in any changes to production, particularly after the difficulties the group had in agreeing output cuts late in 2023.

Additionally, fell 0.8% to $2,056.85/oz, while traded 0.3% lower at 1.0784.",https://uk.investing.com//news/stock-market-news/european-stocks-weaken-ahead-of-boe-eurozone-cpi-deutsche-bank-shines-3319459,0.064,0.852,0.083,0.9469
2,2,SHEL,2024-01-29,FTSE 100 Live: Stocks in the green supported by oil majors By Proactive Investors,"Published Jan 29, 2024 10:45 Updated Jan 29, 2024 11:10

© Reuters. FTSE 100 Live: Stocks in the green supported by oil majors

BP +0.46% Add to/Remove from a Portfolio SHEL +0.34% Add to/Remove from a Portfolio UK100 -0.30% Add to/Remove from a Portfolio LCO -0.15% Add to/Remove from a Portfolio

Proactive Investors -

up 17 points at 7,652

BP (LON: ) and Shell (LON: ) gain as oil price rises

(LON: ) and Shell (LON: ) gain as oil price rises Superdry mulls more cost cuts

Job vacancies drop in December - Adzuma

Job vacancies in the UK fell by the most in more than three years in December, according to new figures.

The data is another sign that resilient labour market is cooling amid .

Figures in the latest Job Market Report published by online portal Adzuna showed advertised vacancies dropped 6.95% in December, the largest drop since June 2020.

Early data suggests January will see a similar sized fall, marking what could be the start of difficult year for jobseekers, Adzuna said.

The drop mirrors falls shown in official data from the Office for National Statistics.

Jobs data showed that between October and December, the number of vacancies in the UK fell by 49,000 on the quarter to 934,000, the ONS said.

Vacancies fell on the quarter for the 18th consecutive period, the longest consecutive run of quarterly declines ever recorded but still above pre-coronavirus (COVID-19) pandemic levels, the ONS added.

Oil majors keeps London in the green

The FTSE 100 is in positive territory, although early highs.

Russ Mould at AJ Bell notes a ""strong showing from heavyweight oil stocks has helped make up for weakness elsewhere.”

“Oil prices advanced thanks to a renewed escalation in Middle East tensions, with a further attack on shipping in the Red Sea by Houthi rebels and three US soldiers killed in a drone attack on a US service base on the border of Jordan and Syria,"" he explained.

Howeverm he pointed out that crude hitting its highest level since November ""feels ominous given it adds inflationary pressure at a time when borrowers and the markets are hoping to see interest rates cut.""

""Geopolitical factors seem to be propping up oil at a time when the wider dynamics of supply and demand look less than favourable for the energy market,"" he added.

Read more on Proactive Investors UK

Disclaimer",https://uk.investing.com//news/stock-market-news/ftse-100-live-stocks-in-the-green-supported-by-oil-majors-3314447,0.103,0.802,0.095,-0.517
3,3,SHEL,2023-11-08,FTSE 100 sees minor decline amidst robust retail sector performance By Investing.com,"Published Nov 08, 2023 17:48

© Reuters.

UK100 -0.30% Add to/Remove from a Portfolio BP +0.46% Add to/Remove from a Portfolio MKS +0.34% Add to/Remove from a Portfolio SHEL +0.34% Add to/Remove from a Portfolio AAL -2.13% Add to/Remove from a Portfolio ABF -0.67% Add to/Remove from a Portfolio JDW -2.83% Add to/Remove from a Portfolio NG -1.50% Add to/Remove from a Portfolio ITV -1.23% Add to/Remove from a Portfolio FRES -3.35% Add to/Remove from a Portfolio

The fell slightly by 0.11% to close at 7,401.72 on Wednesday, as declines in financial and mining sectors were offset by strong results in the retail sector. The index was adversely impacted by companies such as National Grid (LON: ), BP (NYSE: ), Shell (LON: ), Anglo American (JO: ), and Fresnillo (LON: ). However, strong performances from Marks & Spencer (OTC: ) and AB Foods (LON: ) helped counterbalance these losses.

Marks & Spencer reported a significant surge in first-half profits of £325.6m, a substantial increase from £208m a year ago. This announcement led to an 8.88% rise in its shares to 244.1p. The retailer also saw a remarkable 14.7% increase in food sales and a 10.8% rise in revenue, reaching £6.1bn.

Other retailers also experienced gains, with JD (NASDAQ: ) Wetherspoon reporting a robust 9.5% growth in like-for-like sales in the first quarter. On the other hand, ITV (LON: ) announced a meager 1% improvement in total revenue for the first nine months of the year, leading to a 6% drop in its share price.

In economic news, Eurozone retail sales declined for the third consecutive month in September according to Eurostat data, with notable drops in non-food products at 1.9% and automotive fuel at 0.9%. August’s figures were revised upward to -0.7% from -1.2%. In the US, mortgage applications increased due to lower borrowing fees and concerns over a softening labor market, with purchasing applications jumping by 3%.

The FTSE's performance earlier in the week was mixed, with a minor gain on Monday (0.03 points) and a loss on Tuesday (7.72 points). The pound remained steady against the dollar and fell 0.1% against the euro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://uk.investing.com//news/stock-market-news/ftse-100-sees-minor-decline-amidst-robust-retail-sector-performance-93CH-3229236,0.029,0.842,0.129,0.9874
4,4,SHEL,2023-11-08,FTSE 100 sees minor decline amidst robust retail sector performance By Investing.com,"Published Nov 08, 2023 17:48

© Reuters.

UK100 -0.30% Add to/Remove from a Portfolio BP +0.46% Add to/Remove from a Portfolio MKS +0.34% Add to/Remove from a Portfolio SHEL +0.34% Add to/Remove from a Portfolio AAL -2.13% Add to/Remove from a Portfolio ABF -0.67% Add to/Remove from a Portfolio JDW -2.83% Add to/Remove from a Portfolio NG -1.50% Add to/Remove from a Portfolio ITV -1.23% Add to/Remove from a Portfolio FRES -3.35% Add to/Remove from a Portfolio

The fell slightly by 0.11% to close at 7,401.72 on Wednesday, as declines in financial and mining sectors were offset by strong results in the retail sector. The index was adversely impacted by companies such as National Grid (LON: ), BP (NYSE: ), Shell (LON: ), Anglo American (JO: ), and Fresnillo (LON: ). However, strong performances from Marks & Spencer (OTC: ) and AB Foods (LON: ) helped counterbalance these losses.

Marks & Spencer reported a significant surge in first-half profits of £325.6m, a substantial increase from £208m a year ago. This announcement led to an 8.88% rise in its shares to 244.1p. The retailer also saw a remarkable 14.7% increase in food sales and a 10.8% rise in revenue, reaching £6.1bn.

Other retailers also experienced gains, with JD (NASDAQ: ) Wetherspoon reporting a robust 9.5% growth in like-for-like sales in the first quarter. On the other hand, ITV (LON: ) announced a meager 1% improvement in total revenue for the first nine months of the year, leading to a 6% drop in its share price.

In economic news, Eurozone retail sales declined for the third consecutive month in September according to Eurostat data, with notable drops in non-food products at 1.9% and automotive fuel at 0.9%. August’s figures were revised upward to -0.7% from -1.2%. In the US, mortgage applications increased due to lower borrowing fees and concerns over a softening labor market, with purchasing applications jumping by 3%.

The FTSE's performance earlier in the week was mixed, with a minor gain on Monday (0.03 points) and a loss on Tuesday (7.72 points). The pound remained steady against the dollar and fell 0.1% against the euro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",https://uk.investing.com//news/stock-market-news/ftse-100-sees-minor-decline-amidst-robust-retail-sector-performance-93CH-3229236#comments,0.029,0.842,0.129,0.9874
5,5,SHEL,2024-01-31,"Labour would 'unashamedly champion' City, says shadow chancellor By Proactive Investors","Published Jan 31, 2024 09:35 Updated Jan 31, 2024 10:10

© Vuk Valcic / SOPA Images/Sipa US via Reuters Connect Labour would 'unashamedly champion' City, says shadow chancellor

SHEL +0.34% Add to/Remove from a Portfolio GOOGL +2.12% Add to/Remove from a Portfolio AZN -1.98% Add to/Remove from a Portfolio

Proactive Investors - Rachel Reeves, the Labour shadow chancellor, declared she and her party will ""unashamedly champion"" the UK's financial services sector.

Ahead of a general election this year, her comments mark a pivot from Labour's previously strained interactions with the financial industry in past leaderships.

Heavily influenced by advice from City veterans, Labour seeks to streamline regulation, leverage technological advancements like artificial intelligence (AI), and solidify the UK's position on the global financial stage.

Reeves is set to launch Labour’s plans for the City and financial services on Thursday at a business event expected to be attended by leaders from companies such as AstraZeneca (NASDAQ: ), Google (NASDAQ: ) and Shell (LON: ).

Notably, the strategy stops short of proposing any drastic political changes, reflecting an understanding of the sector's desire for stability post-Brexit.

“The last thing we need is a massive upheaval,” said a Reeves supporter. “Rachel recognises that stability and security are needed.”

Under the plans, Labour would welcome Conservative changes such as Jeremy Hunt’s Edinburgh reforms and the changes to the Solvency II regime.

“Too often in the last decade, British politicians have sounded embarrassed about the sectors we excel in… That will change with Labour,” Reeves said.

Additionally, the plans will tackle regulating 'buy now pay later' (BNPL) schemes, a review of City regulation, building relationships with the EU and the rollout of ‘banking hubs’ for free access to financial services, according to reports.

Read more on Proactive Investors UK

Disclaimer",https://uk.investing.com//news/stock-market-news/labour-would-unashamedly-champion-city-says-shadow-chancellor-3317588,0.026,0.851,0.123,0.9834
6,6,SHEL,2024-01-04,"London midday: FTSE pares gains amid diverging fortunes for Next, JD Sports By Sharecast","Published Jan 04, 2024 12:02 Updated Jan 04, 2024 12:11

London midday: FTSE pares gains amid diverging fortunes for Next, JD Sports

NXT -0.82% Add to/Remove from a Portfolio UK100 -0.30% Add to/Remove from a Portfolio BP +0.46% Add to/Remove from a Portfolio SHEL +0.34% Add to/Remove from a Portfolio JD -0.48% Add to/Remove from a Portfolio

Sharecast - The was steady at 7,684.18.

Investors were mulling the released overnight. They showed that officials saw rate cuts as likely this year but didn't give any details on when the central bank might start to loosen monetary policy.

Market participants were also digesting the latest data out of China, where the rose to 52.9 in December from 51.5 in November. This was above consensus expectations of 51.6 and marked the highest level since July. A reading above 50.0 indicates expansion, while a reading below signals contraction.

Overall new orders rose 2.5 points to 53.7 - the highest since May - while the index for new export orders was up 0.7 points to 52.2.

On home shores, a survey out earlier showed that activity in the UK service sector rose at the fastest pace in six months in December.

The S&P Global/CIPS business activity index increased to 53.4 from 50.9 in December, coming in above the flash reading of 52.7.

Meanwhile, the final - which measures activity in both the service and manufacturing sector - came in at 52.1 in December, up from 50.7 the month before. This also marked the highest level since last June and was above the flash estimate of 51.7.

Tim Moore, economics director at S&P Global Market Intelligence, said: ""December data indicated that the UK service sector ended last year on a high, with business activity growth accelerating to its fastest for six months as the turnaround in order books gained momentum. The recovery in client demand was attributed to hopes of lower borrowing costs and an improving global economic backdrop in 2024. However, many firms continued to cite challenging underlying business conditions due to the stagnating UK economy and strong pressure on margins from rising labour costs.

""Business activity expectations for the year ahead are now the most upbeat since last May, supported by signs of a rebound in clients' appetite to spend. Staff hiring was the main weak spot in December, with hiring freezes yet to be lifted as service providers sought to maintain a tight grip on headcount.""

Separate data released by the Bank of England showed that mortgage approvals rose more than expected in November, to their highest in five months as interest rate projections began to fall.

Net approvals for house purchases, a key indicator of future borrowing, totalled 50,100 in November, up from 47,900 in October and the highest level since June. This was ahead of the consensus estimate of 48,500.

Meanwhile, net approvals for remortgaging, which only include remortgaging with a different lender, increased from 24,000 to 27,000.

In equity markets, fashion retailer Next (LON: ) rallied as it lifted annual guidance after better-than-expected full-price sales during November and December. Full-price sales in the nine weeks to December 30 rose 5.7% year-on-year, £38m better than previous guidance of a 2% rise.

Annual pre-tax profit was lifted £20m to £905m. Of that, £17m came from the sales beat to date and £3m from an upgraded forecast for full-price sales in January.

Richard Hunter, head of markets at Interactive Investor, said: ""In all, Next has shown its mettle once more in a famously competitive environment, in which it is seen as something of a linchpin. Its share price performance has also defied the odds which tend to follow the retail sector, having risen by 35% over the last year, as compared to a gain of just 1.3% for the wider FTSE 100.

""The warm initial price reaction to the update could initiate some upgrades to a market consensus which has yet to break out of its range for a sustained period of time. Indeed, the general view of the shares as a hold, albeit a strong one, has tended to underestimate the strides which the company has been making.""

BP (LON: ) and Shell (LON: ) gushed higher as oil prices rose amid growing tensions in the Middle East.

Going the other way, JD Sports (LON: ) tumbled as it delivered a profit warning after second-half trading missed expectations due to milder autumn weather and heavier discounting over the peak holiday shopping season.

The company said the ""elevated level of promotional activity"" during the peak trading period meant that full-year gross margins would be slightly lower than last year, leading it to cut adjusted pre-tax profit guidance to between £915m and £935m, from £1.04bn at the half-year stage.

Sports Direct (LON: ) owner Frasers Group also lost ground.

Tullow Oil (LON: ) was on the back foot after a downgrade to ‘underperform’ from ‘hold’ at Jefferies.

Big Yellow, Dr Martens (LON: ) and Workspace (LON: ) were in the red as they traded without entitlement to the dividend.

Market Movers

FTSE 100 (UKX) 7,684.18 0.02%

(MCX) 19,337.77 0.06%

techMARK (TASX) 4,266.76 0.03%

FTSE 100 - Risers

Next (NXT) 8,438.00p 4.40%

Beazley (BEZ) 542.50p 3.04%

BP (BP.) 479.90p 1.68%

Rentokil Initial (LON: ) 417.20p 1.48%

Anglo American (JO: ) (AAL) 1,891.40p 1.20%

BAE Systems (LON: ) (BA.) 1,147.00p 1.15%

Shell (SHEL) 2,615.50p 0.87%

International Consolidated Airlines Group (LON: ) SA (CDI) (IAG) 151.80p 0.86%

WPP (LON: ) 735.60p 0.85%

Rolls-Royce Holdings (LON: .) 297.10p 0.78%

FTSE 100 - Fallers

JD Sports Fashion (JD.) 119.70p -23.00%

Frasers Group (FRAS) 835.00p -4.13%

Croda International (CRDA) 4,698.00p -3.77%

Flutter Entertainment (CDI) (FLTR) 13,400.00p -2.26%

F&C Investment Trust (FCIT) 931.00p -1.69%

Experian (EXPN) 3,013.00p -1.44%

BT Group (LON: .A) 121.20p -1.42%

Halma (LON: ) 2,127.00p -1.07%

Diploma (LON: ) 3,322.00p -0.95%

Scottish Mortgage Inv Trust (SMT) 757.20p -0.94%

FTSE 250 - Risers

W.A.G Payment Solutions (WPS) 92.00p 4.55%

Aston Martin Lagonda Global Holdings (AML) 215.00p 3.76%

Diversified Energy Company (DEC) 1,217.00p 3.44%

Future (FUTR (LON: )) 808.50p 3.19%

easyJet (LON: ) 491.30p 1.99%

Bridgepoint Group (Reg S) (BPT) 267.00p 1.91%

Redrow (LON: ) 603.00p 1.52%

Sequoia Economic Infrastructure Income Fund Limited (SEQI) 85.40p 1.43%

Hargreaves Lansdown (LON: ) (HL.) 719.00p 1.41%

Smithson Investment Trust (SSON) 1,379.00p 1.40%

FTSE 250 - Fallers

Tullow Oil (TLW) 37.44p -3.51%

Syncona Limited NPV (SYNC) 118.80p -3.41%

Baltic Classifieds Group (BCG) 231.50p -2.94%

Ferrexpo (LON: ) 82.10p -2.49%

Big Yellow Group (LON: ) 1,175.00p -2.16%

Workspace Group (WKP) 542.50p -1.90%

Helios Towers (HTWS) 86.55p -1.82%

Dr. Martens (DOCS) 85.60p -1.78%

Man Group (EMG) 226.50p -1.78%

Games Workshop Group (GAW (LON: )) 9,455.00p -1.77%

Read more on Sharecast.com",https://uk.investing.com//news/stock-market-news/london-midday-ftse-pares-gains-amid-diverging-fortunes-for-next-jd-sports-3286775,0.038,0.875,0.088,0.996
7,7,SHEL,2023-11-27,London open: Stocks edge down on weak Asian cues; Rightmove rallies By Sharecast,"Published Nov 27, 2023 08:35 Updated Nov 27, 2023 08:41

London open: Stocks edge down on weak Asian cues; Rightmove rallies

UK100 -0.30% Add to/Remove from a Portfolio BP +0.46% Add to/Remove from a Portfolio SHEL +0.34% Add to/Remove from a Portfolio AV -0.90% Add to/Remove from a Portfolio RMV -1.23% Add to/Remove from a Portfolio ESNT -2.51% Add to/Remove from a Portfolio FTMC -0.21% Add to/Remove from a Portfolio ENT +2.42% Add to/Remove from a Portfolio

Sharecast - At 0830 GMT, the was down 0.2% at 7,471.69.

Richard Hunter, head of markets at Interactive Investor, said: ""With other global markets giving the UK little to go on, the main indices again showed few signs of life in opening exchanges.

""The premier index drifted lower, with an oil price which has drifted given OPEC uncertainty over the rearranged and upcoming meeting putting some pressure on the majors, with BP (LON: ) and Shell (LON: ) weaker.

""The FTSE100 is still keeping its head above water so far this year - just - although the 0.2% rise could evaporate very quickly.""

In equity markets, Ladbrokes and Coral owner Entain (LON: ) was knocked lower by a downgrade to ‘sell’ from ‘buy’ at Goldman Sachs (NYSE: ).

""We now believe the inflection of fundamentals will take longer to come through, leading us to cut our estimates (by circa 30% at EPS for FY24/25E),"" GS said.

On the upside, Rightmove (LON: ) rallied after it lifted its full-year forecast for annual revenue per advertiser as it hailed strong demand for its products since it last reported. The company now expects ARPA growth to be between £112 and £116, up from previous guidance of £103 to £105.

West End landlord Shaftesbury Capital was also in the black as it hailed a ""strong"" start to the Christmas trading, with footfall high and sales tracking above the prior year. The company said customers reported sales up 12% on 2022 levels and 16% above 2019 levels.

Aviva (LON: ) was in focus as it agreed to buy Optiom from Novacap and other minority shareholders for around £100m. Optiom, which operates as a managing general agent (MGA), is a provider of vehicle replacement insurance in Canada and offers flexible payment options to customers.

Market Movers

FTSE 100 (UKX) 7,471.69 -0.22%

(MCX) 18,469.31 0.06%

techMARK (TASX) 4,119.76 -0.04%

FTSE 100 - Risers

Rightmove (RMV) 533.40p 4.75%

Fresnillo (LON: ) 535.20p 1.25%

B&M European Value Retail S.A. (DI) (BME) 552.00p 1.25%

Auto Trader Group (AUTO) 708.80p 1.17%

Admiral Group (LON: ) (ADM) 2,693.00p 1.09%

JD Sports Fashion (JD.) 149.60p 0.94%

Endeavour Mining (EDV (LON: )) 1,750.00p 0.92%

Haleon (LON: ) 334.95p 0.71%

Taylor Wimpey (LON: .) 127.15p 0.67%

Associated British Foods (LON: ) 2,387.00p 0.63%

FTSE 100 - Fallers

Entain (ENT) 838.40p -2.40%

Shell (SHEL) 2,569.00p -1.00%

BP (BP.) 472.55p -0.83%

Mondi (LON: ) 1,351.00p -0.73%

St James's Place (STJ) 657.00p -0.73%

Prudential (LON: ) 915.20p -0.69%

AstraZeneca (NASDAQ: ) 10,112.00p -0.67%

Anglo American (JO: ) (AAL) 2,202.00p -0.65%

Rio Tinto (LON: ) 5,455.00p -0.57%

Flutter Entertainment (CDI) (FLTR) 12,550.00p -0.55%

FTSE 250 - Risers

Johnson Matthey (LON: ) 1,603.50p 3.72%

Octopus Renewables Infrastructure Trust (ORIT) 93.50p 3.66%

Shaftesbury Capital (SHC) 118.80p 2.06%

Trainline (TRN) 295.80p 2.00%

Essentra (LON: ) 161.60p 1.89%

Allianz (ETR: ) Technology Trust (ATT) 283.00p 1.80%

International Distributions Services (IDS) 256.60p 1.58%

easyJet (LON: ) 411.40p 1.58%

Just Group (LON: ) (JUST) 84.40p 1.44%

Wetherspoon (J.D.) (LON: ) 722.00p 1.40%

FTSE 250 - Fallers

W.A.G Payment Solutions (WPS) 87.20p -5.22%

LXI Reit (LXI) 94.50p -2.43%

Energean (ENOG) 954.00p -2.25%

IntegraFin Holding (IHP) 251.00p -2.18%

JPMorgan (NYSE: ) Japanese Inv Trust (JFJ) 472.00p -1.67%

AJ Bell (AJB) 273.00p -1.37%

HICL Infrastructure (HICL) 131.80p -1.35%

Currys (CURY) 46.62p -1.27%

Impax (LON: ) Environmental Markets (IEM) 359.50p -1.24%

VinaCapital Vietnam Opportunity Fund Ltd. (VOF) 452.00p -1.20%

Read more on Sharecast.com",https://uk.investing.com//news/stock-market-news/london-open-stocks-edge-down-on-weak-asian-cues-rightmove-rallies-3249516,0.029,0.911,0.06,0.9559
8,8,SHEL,2024-02-05,Shell agrees to develop Nigeria gas field for Dangote fertiliser By Reuters,"Published Feb 05, 2024 09:21

© Reuters. FILE PHOTO: The Shell logo is seen at a petrol station in south London January 31, 2008. REUTERS/Toby Melville/File Photo

SHEL +0.34% Add to/Remove from a Portfolio TTEF +0.93% Add to/Remove from a Portfolio

By Isaac Anyaogu

LAGOS (Reuters) - Shell (LON: ) Plc has made a final investment decision to build a gas supply facility in Nigeria to feed a fertiliser plant owned by Africa's richest man Aliko Dangote, the company said in a statement.

The new facility will supply 100 million standard cubic feet of gas per day from the Iseni field to the Dangote Fertiliser and Petrochemical plant for 10 years, according to the deal agreed by Shell and its joint venture partners TotalEnergies (LON: ), Eni and the state oil firm NNPC Ltd.

The $2.5 billion plant, Africa's largest urea complex with a 3-million-tonne output per year, accounts for 65% of Nigeria's fertiliser needs and can supply all the major markets in the sub-region.

""The agreement is a critical step in pursuing the development of the gas-rich Iseni field, which is part of the Okpokunou Cluster in Oil Mining Lease 35"" in the oil-rich Bayelsa state, Shell's Nigeria chief, Osagie Okunbor, said in an email.

Nigeria holds Africa's largest gas reserves of more than 200 trillion cubic feet and is seeking to develop the reserves to boost supply to industries, power plants, and for exports.

Okunbor said the project will increase the delivery of gas to the domestic market and help stimulate economic growth.",https://uk.investing.com//news/stock-market-news/shell-agrees-to-develop-nigeria-gas-field-for-dangote-fertiliser-3323200,0.009,0.91,0.081,0.9485
9,9,SHEL,2023-10-11,Shell Amsterdam shares hit highest since 2001 By Reuters,"Published Oct 11, 2023 08:29

© Reuters. Shell logo and stock graph are seen in this illustration taken May 1, 2022. REUTERS/Dado Ruvic/Illustration

SHEL +0.34% Add to/Remove from a Portfolio

LONDON (Reuters) - Amsterdam-listed shares in energy company Shell (LON: ) hit their highest in over two decades in early trading on Wednesday.

At 0718 GMT the shares were 0.7% higher, having earlier risen as much as 1.2% to 31.62 euros ($33.54), their highest level since late 2001. Shell's London-listed shares were up 0.7% on the day, having hit their highest since mid-2019 earlier in the day.

The oil price, which surged by the most in one day since April on Monday after fighting erupted in Israel, has risen 2.5% so far this year, but at around $88 a barrel, is not far off its highest in 11 months.

($1 = 0.9429 euros)",https://uk.investing.com//news/stock-market-news/shell-amsterdam-shares-hit-highest-since-2001-3186036,0.012,0.942,0.045,0.3818
